doc_id,source,strategy,faithfulness,completeness,conciseness,clarity,overall
dialogsum-13677,dialogsum,dense_prose,5,5,4,5,5
dialogsum-13677,dialogsum,concise,5,5,5,5,5
dialogsum-13677,dialogsum,bullet_points,5,5,5,5,5
dialogsum-13677,dialogsum,structured_sections,5,5,5,5,5
dialogsum-13677,dialogsum,progressive_hierarchy,5,5,5,5,5
dialogsum-13677,dialogsum,formal_technical,5,5,4,5,5
dialogsum-13677,dialogsum,conversational,5,5,4,5,5
meetingbank-5656,meetingbank,dense_prose,5,5,5,5,5
meetingbank-5656,meetingbank,concise,5,4,5,5,5
meetingbank-5656,meetingbank,bullet_points,5,5,5,5,5
meetingbank-5656,meetingbank,structured_sections,5,5,5,5,5
meetingbank-5656,meetingbank,progressive_hierarchy,5,5,5,5,5
meetingbank-5656,meetingbank,formal_technical,5,5,5,5,5
meetingbank-5656,meetingbank,conversational,5,4,5,5,5
dialogsum-13706,dialogsum,dense_prose,5,5,5,5,5
dialogsum-13706,dialogsum,concise,5,4,5,5,5
dialogsum-13706,dialogsum,bullet_points,5,5,5,5,5
dialogsum-13706,dialogsum,structured_sections,5,5,5,5,5
dialogsum-13706,dialogsum,progressive_hierarchy,5,5,5,5,5
dialogsum-13706,dialogsum,formal_technical,5,5,5,5,5
dialogsum-13706,dialogsum,conversational,5,5,5,5,5
meetingbank-5435,meetingbank,dense_prose,4,4,5,5,4
meetingbank-5435,meetingbank,concise,5,4,5,5,5
meetingbank-5435,meetingbank,bullet_points,4,4,5,5,4
meetingbank-5435,meetingbank,structured_sections,4,5,5,5,5
meetingbank-5435,meetingbank,progressive_hierarchy,5,4,5,5,5
meetingbank-5435,meetingbank,formal_technical,4,4,4,5,4
meetingbank-5435,meetingbank,conversational,4,4,5,5,4
pubmed-120253,pubmed,dense_prose,5,4,4,5,5
pubmed-120253,pubmed,concise,5,3,5,5,4
pubmed-120253,pubmed,bullet_points,5,4,5,5,5
pubmed-120253,pubmed,structured_sections,5,4,5,5,5
pubmed-120253,pubmed,progressive_hierarchy,5,4,5,5,5
pubmed-120253,pubmed,formal_technical,5,5,4,5,5
pubmed-120253,pubmed,conversational,5,4,4,5,5
cnn-293962,cnn,dense_prose,4,4,5,5,4
cnn-293962,cnn,concise,5,3,5,5,4
cnn-293962,cnn,bullet_points,4,4,5,5,4
cnn-293962,cnn,structured_sections,4,4,5,5,5
cnn-293962,cnn,progressive_hierarchy,5,4,5,5,5
cnn-293962,cnn,formal_technical,4,4,4,5,4
cnn-293962,cnn,conversational,4,4,3,5,4
govreport-17809,govreport,dense_prose,5,4,5,5,5
govreport-17809,govreport,concise,3,3,5,5,3
govreport-17809,govreport,bullet_points,4,4,5,5,4
govreport-17809,govreport,structured_sections,5,4,5,5,5
govreport-17809,govreport,progressive_hierarchy,5,4,5,5,5
govreport-17809,govreport,formal_technical,4,4,5,5,4
govreport-17809,govreport,conversational,5,4,4,5,4
meetingbank-5236,meetingbank,dense_prose,4,4,5,5,4
meetingbank-5236,meetingbank,concise,4,3,5,5,4
meetingbank-5236,meetingbank,bullet_points,4,4,5,5,4
meetingbank-5236,meetingbank,structured_sections,4,4,5,5,4
meetingbank-5236,meetingbank,progressive_hierarchy,4,4,5,5,5
meetingbank-5236,meetingbank,formal_technical,5,4,4,5,4
meetingbank-5236,meetingbank,conversational,4,4,4,5,4
mediasum-447224,mediasum,dense_prose,3,3,4,4,3
mediasum-447224,mediasum,concise,2,3,4,4,2
mediasum-447224,mediasum,bullet_points,3,3,4,5,3
mediasum-447224,mediasum,structured_sections,3,4,4,5,3
mediasum-447224,mediasum,progressive_hierarchy,2,3,3,4,2
mediasum-447224,mediasum,formal_technical,4,4,4,5,4
mediasum-447224,mediasum,conversational,2,4,4,5,3
dialogsum-13583,dialogsum,dense_prose,5,5,4,5,5
dialogsum-13583,dialogsum,concise,5,4,5,5,5
dialogsum-13583,dialogsum,bullet_points,5,5,5,5,5
dialogsum-13583,dialogsum,structured_sections,5,4,5,5,5
dialogsum-13583,dialogsum,progressive_hierarchy,5,5,5,5,5
dialogsum-13583,dialogsum,formal_technical,5,5,4,5,5
dialogsum-13583,dialogsum,conversational,5,5,4,5,5
dialogsum-12767,dialogsum,dense_prose,5,5,5,5,5
dialogsum-12767,dialogsum,concise,5,4,5,5,5
dialogsum-12767,dialogsum,bullet_points,5,5,5,5,5
dialogsum-12767,dialogsum,structured_sections,5,5,5,5,5
dialogsum-12767,dialogsum,progressive_hierarchy,5,5,5,5,5
dialogsum-12767,dialogsum,formal_technical,5,5,4,5,5
dialogsum-12767,dialogsum,conversational,5,5,5,5,5
govreport-17668,govreport,dense_prose,5,4,5,5,5
govreport-17668,govreport,concise,4,3,5,5,4
govreport-17668,govreport,bullet_points,4,4,5,5,5
govreport-17668,govreport,structured_sections,5,4,5,5,5
govreport-17668,govreport,progressive_hierarchy,5,4,5,5,5
govreport-17668,govreport,formal_technical,5,4,5,5,5
govreport-17668,govreport,conversational,5,4,4,5,4
cnn-296834,cnn,dense_prose,5,4,5,5,5
cnn-296834,cnn,concise,5,3,5,5,4
cnn-296834,cnn,bullet_points,5,4,5,5,5
cnn-296834,cnn,structured_sections,5,4,5,5,5
cnn-296834,cnn,progressive_hierarchy,5,5,5,5,5
cnn-296834,cnn,formal_technical,5,4,5,5,5
cnn-296834,cnn,conversational,5,4,4,5,5
mediasum-451560,mediasum,dense_prose,4,4,4,5,4
mediasum-451560,mediasum,concise,5,4,5,5,4
mediasum-451560,mediasum,bullet_points,4,4,5,5,4
mediasum-451560,mediasum,structured_sections,5,4,5,5,5
mediasum-451560,mediasum,progressive_hierarchy,5,5,5,5,5
mediasum-451560,mediasum,formal_technical,5,4,4,5,5
mediasum-451560,mediasum,conversational,4,4,4,5,4
govreport-17676,govreport,dense_prose,4,4,5,5,4
govreport-17676,govreport,concise,4,2,5,5,3
govreport-17676,govreport,bullet_points,4,4,5,5,4
govreport-17676,govreport,structured_sections,5,4,5,5,5
govreport-17676,govreport,progressive_hierarchy,5,4,5,5,5
govreport-17676,govreport,formal_technical,5,4,5,5,5
govreport-17676,govreport,conversational,4,4,4,5,4
mediasum-452866,mediasum,dense_prose,5,4,5,5,5
mediasum-452866,mediasum,concise,5,3,5,5,4
mediasum-452866,mediasum,bullet_points,5,4,5,5,5
mediasum-452866,mediasum,structured_sections,5,4,5,5,5
mediasum-452866,mediasum,progressive_hierarchy,5,5,5,5,5
mediasum-452866,mediasum,formal_technical,5,4,4,5,5
mediasum-452866,mediasum,conversational,4,4,4,5,4
govreport-17644,govreport,dense_prose,4,4,5,5,4
govreport-17644,govreport,concise,5,3,5,5,4
govreport-17644,govreport,bullet_points,4,4,5,5,4
govreport-17644,govreport,structured_sections,5,4,5,5,5
govreport-17644,govreport,progressive_hierarchy,5,4,5,5,5
govreport-17644,govreport,formal_technical,5,4,5,5,5
govreport-17644,govreport,conversational,4,4,5,5,4
mediasum-449868,mediasum,dense_prose,5,5,4,5,5
mediasum-449868,mediasum,concise,5,3,5,5,4
mediasum-449868,mediasum,bullet_points,5,4,5,5,5
mediasum-449868,mediasum,structured_sections,5,4,5,5,5
mediasum-449868,mediasum,progressive_hierarchy,5,5,4,5,5
mediasum-449868,mediasum,formal_technical,5,5,4,5,5
mediasum-449868,mediasum,conversational,5,5,4,5,5
dialogsum-12859,dialogsum,dense_prose,5,5,5,5,5
dialogsum-12859,dialogsum,concise,5,4,5,5,4
dialogsum-12859,dialogsum,bullet_points,5,5,5,5,5
dialogsum-12859,dialogsum,structured_sections,5,4,5,5,5
dialogsum-12859,dialogsum,progressive_hierarchy,5,5,5,5,5
dialogsum-12859,dialogsum,formal_technical,5,4,4,5,4
dialogsum-12859,dialogsum,conversational,5,4,4,5,5
wikihow-1087540,wikihow,dense_prose,5,5,5,5,5
wikihow-1087540,wikihow,concise,5,5,5,5,5
wikihow-1087540,wikihow,bullet_points,5,5,5,5,5
wikihow-1087540,wikihow,structured_sections,5,5,5,5,5
wikihow-1087540,wikihow,progressive_hierarchy,5,5,5,5,5
wikihow-1087540,wikihow,formal_technical,5,5,5,5,5
wikihow-1087540,wikihow,conversational,5,5,3,5,4
