doc_id,source,strategy,word_count,char_count,document_length,compression_ratio
dialogsum-13677,dialogsum,dense_prose,49,351,253,1.3873517786561265
dialogsum-13677,dialogsum,concise,22,156,253,0.616600790513834
dialogsum-13677,dialogsum,bullet_points,45,285,253,1.1264822134387351
dialogsum-13677,dialogsum,structured_sections,68,531,253,2.0988142292490117
dialogsum-13677,dialogsum,progressive_hierarchy,131,922,253,3.644268774703557
dialogsum-13677,dialogsum,formal_technical,61,476,253,1.8814229249011858
dialogsum-13677,dialogsum,conversational,53,320,253,1.2648221343873518
meetingbank-5656,meetingbank,dense_prose,107,783,2342,0.33432963279248507
meetingbank-5656,meetingbank,concise,22,185,2342,0.07899231426131512
meetingbank-5656,meetingbank,bullet_points,114,771,2342,0.3292058070025619
meetingbank-5656,meetingbank,structured_sections,146,1126,2342,0.4807856532877882
meetingbank-5656,meetingbank,progressive_hierarchy,247,1847,2342,0.7886421861656704
meetingbank-5656,meetingbank,formal_technical,141,1091,2342,0.4658411614005124
meetingbank-5656,meetingbank,conversational,168,997,2342,0.4257045260461144
dialogsum-13706,dialogsum,dense_prose,68,409,658,0.621580547112462
dialogsum-13706,dialogsum,concise,31,179,658,0.27203647416413373
dialogsum-13706,dialogsum,bullet_points,59,320,658,0.48632218844984804
dialogsum-13706,dialogsum,structured_sections,105,701,658,1.0653495440729484
dialogsum-13706,dialogsum,progressive_hierarchy,162,984,658,1.4954407294832828
dialogsum-13706,dialogsum,formal_technical,85,568,658,0.8632218844984803
dialogsum-13706,dialogsum,conversational,91,525,658,0.7978723404255319
meetingbank-5435,meetingbank,dense_prose,174,1211,29576,0.04094536110359751
meetingbank-5435,meetingbank,concise,59,422,29576,0.014268325669461726
meetingbank-5435,meetingbank,bullet_points,189,1308,29576,0.04422504733567758
meetingbank-5435,meetingbank,structured_sections,257,1820,29576,0.061536380849337304
meetingbank-5435,meetingbank,progressive_hierarchy,306,2187,29576,0.07394509061401136
meetingbank-5435,meetingbank,formal_technical,278,1945,29576,0.06576278063294563
meetingbank-5435,meetingbank,conversational,238,1403,29576,0.04743711117121991
pubmed-120253,pubmed,dense_prose,208,1519,4925,0.3084263959390863
pubmed-120253,pubmed,concise,28,256,4925,0.05197969543147208
pubmed-120253,pubmed,bullet_points,164,1284,4925,0.26071065989847714
pubmed-120253,pubmed,structured_sections,193,1592,4925,0.323248730964467
pubmed-120253,pubmed,progressive_hierarchy,292,2231,4925,0.452994923857868
pubmed-120253,pubmed,formal_technical,375,3016,4925,0.6123857868020305
pubmed-120253,pubmed,conversational,361,2210,4925,0.44873096446700506
cnn-293962,cnn,dense_prose,198,1294,8050,0.16074534161490683
cnn-293962,cnn,concise,48,330,8050,0.040993788819875775
cnn-293962,cnn,bullet_points,153,1007,8050,0.12509316770186335
cnn-293962,cnn,structured_sections,293,1989,8050,0.2470807453416149
cnn-293962,cnn,progressive_hierarchy,323,2170,8050,0.26956521739130435
cnn-293962,cnn,formal_technical,270,1969,8050,0.24459627329192546
cnn-293962,cnn,conversational,286,1734,8050,0.21540372670807453
govreport-17809,govreport,dense_prose,180,1387,19243,0.07207815829132672
govreport-17809,govreport,concise,52,365,19243,0.0189679363924544
govreport-17809,govreport,bullet_points,160,1219,19243,0.06334771085589565
govreport-17809,govreport,structured_sections,323,2451,19243,0.1273709920490568
govreport-17809,govreport,progressive_hierarchy,281,2084,19243,0.10829912175856156
govreport-17809,govreport,formal_technical,345,2683,19243,0.13942732422179493
govreport-17809,govreport,conversational,371,2406,19243,0.12503247934313777
meetingbank-5236,meetingbank,dense_prose,193,1367,14149,0.09661460173863877
meetingbank-5236,meetingbank,concise,49,336,14149,0.02374726129055057
meetingbank-5236,meetingbank,bullet_points,167,1180,14149,0.08339812000848117
meetingbank-5236,meetingbank,structured_sections,300,2211,14149,0.15626546045656936
